ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.24 cm2                  0.063 cm2                   0.10 cm2                 0.0601 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1553286  108940   no     1449943  105782   no     1433577  141833   no     1188040  116986   no    
0            1477819  100076   no     1391554   99816   no     1378071  126317   no     1138017  106387   no    
0            1474331  109137   no     1403448  113316   no     1356630  125683   no     1135518  110398   no    
0            1474581   98530   no     1381502   98027   no     1367752  119156   no     1124337   96335   no    
0            1478050  101601   no     1378813  121614   no     1365933  112337   no     1127412  104762   no    
0            1460749   98768   no     1378714  119433   no     1362262  109309   no     1138233  116214   no    
0            1466283  100363   no     1374479  103419   no     1358550  115057   no     1127301  110904   no    
0            1465400  108803   no     1367455  104053   no     1348309  115951   no     1122455  109685   no    
0            1462990  102179   no     1374337  104953   no     1348736  114211   no     1122466  109207   no    
0            1315527   91251   no     1213998   99278   no     1188155  106536   no      987296   96759   no    
0            1312614   87388   no     1225276   85401   no     1171635  102355   no      986607   95139   no    
0            1318513   93503   no     1203668   91672   no     1176523  108329   no      969509   99318   no    
0            1306782   92091   no     1216034   91052   no     1182308   98547   no      976698   92789   no    
0            1302388   90895   no     1205206   91585   no     1169198  104557   no      969032  104800   no    
0            1304695   87035   no     1201277   85960   no     1175093  106415   no      982278  100570   no    
0            1301109   86495   no     1210854   83531   no     1174588  111051   no      978927   90326   no    
0            1298491   88031   no     1205634   96343   no     1177436   97551   no      975236   93376   no    
0            1292958   88460   no     1200673   92763   no     1160193  113787   no      959761  101208   no    
0            1289304   84723   no     1180421   90046   no     1169603  100502   no      968675   96744   no    
0            1283410   89802   no     1200596   92508   no     1160469   96362   no      978404  102470   no    
0            1293283   93454   no     1196511   93099   no     1148399  109528   no      957714   99983   no    
0            1280915   86856   no     1184581   92029   no     1155032  105451   no      967300  102117   no    
0            1277993   83596   no     1193432   85659   no     1148531  109865   no      967920   91710   no    
0            1282850   85798   no     1185415   91221   no     1146369  107434   no      956998   95023   no    
0            1276390   87730   no     1176721   90300   no     1138471  102457   no      970149   96584   no    
0            1271601   86570   no     1171620  104310   no     1141391   89949   no      954235   87946   no    
0            1269185   85275   no     1177972   97103   no     1140792  112751   no      953813   91145   no    
0            1269202   85367   no     1187152   88198   no     1127040  103988   no      941478  106682   no    
0            1268380   88169   no     1167383   81577   no     1137165  104788   no      943018  100547   no    
0            1266602   80022   no     1168690  100939   no     1113765   91675   no      940066   94075   no    
0            1258858   81868   no     1159115   77374   no     1123920   98735   no      928243   99939   no    
0            1261056   82441   no     1154138   97163   no     1125810   85925   no      934726   96473   no    
0            1255888   90006   no     1159441   89457   no     1110461   98038   no      927374  109528   no    
0            1257439   84064   no     1153570   80867   no     1106550  102917   no      920614   90658   no    
0            1243195   78498   no     1152818   76661   no     1105642  103402   no      933538   85173   no    
0            1248930   84997   no     1155638   89584   no     1089192   84709   no      926049  102765   no    
0            1238570   82787   no     1141211   82548   no     1105262   90984   no      926236   99530   no    
0            1239747   83105   no     1128997   78473   no     1107175  101519   no      916152   89149   no    
0            1236887   83759   no     1130835   83806   no     1090556   86232   no      900408   88384   no    
0            1220425   76578   no     1133868   93141   no     1097636   96105   no      911857   91492   no    
0            1216902   77499   no     1122572   80446   no     1081689   88104   no      912106   87358   no    
0            1216828   77072   no     1130873   84409   no     1078257   94817   no      904282   86374   no    
0            1215653   79987   no     1121216   91304   no     1069569   98729   no      914168   78697   no    
0            1209193   78911   no     1109179   76873   no     1071373   95189   no      909344   93481   no    
0            1203305   73870   no     1094597   76913   no     1061077   86963   no      883350   95913   no    
0            1194910   77510   no     1106292   71422   no     1055531   83054   no      889476   81249   no    
0            1192592   74239   no     1088482   81957   no     1042759   91771   no      878302   85536   no    
0            1185460   75291   no     1088489   77613   no     1037030   90403   no      867981   77530   no    
0            1175235   71679   no     1079631   75158   no     1036145   94102   no      866558   75766   no    
0            1172108   69927   no     1071272   74646   no     1019516   89767   no      850681   83266   no    
0            1162482   67292   no     1067427   75503   no     1008543   80265   no      867478   86251   no    
0            1157547   73488   no     1055289   83311   no      999564   66391   no      853058   77796   no    
0            1150467   66609   no     1057408   69918   no     1008802   87923   no      838595   85629   no    
0            1136338   67411   no     1039407   62447   no      977576   82036   no      839447   80408   no    
0            1138131   71170   no     1046202   67779   no      974013   77349   no      804849   84265   no    
0            1118273   66204   no     1025058   63195   no      965917   80003   no      807575   82518   no    
0            1106426   66486   no     1025764   70604   no      970252   83810   no      808794   73971   no    
0            1101133   68547   no      996073   74358   no      935082   78705   no      801274   82715   no    
0            1098360   65629   no     1006709   74889   no      938207   83598   no      796023   72120   no    
0            1090947   73820   no      988788   79882   no      922701   79539   no      796873   74911   no    
0            1087451   70645   no      971730   73550   no      914039   75750   no      790753   78559   no    
0            1081044   73112   no      964848   67514   no      911778   87016   no      767002   79151   no    
0            1068660   62968   no      960236   60868   no      888519   78887   no      764734   84060   no    
0            1069220   63933   no      947593   58400   no      892281   76604   no      730168   64254   no    
0            1057649   67452   no      928421   62383   no      891126   73059   no      736359   79945   no    
0            1044207   73850   no      937585   56161   no      886092   71347   no      719261   79078   no    
0            1019806   62837   no      928534   57674   no      868653   72447   no      729291   75967   no    
0            1017309   74055   no      925998   41874   no      855872   66017   no      710809   68744   no    
0             983750   75516   no      895139   46625   no      846005   62843   no      681922   78068   no    
0             968067   83692   no      886329   59685   no      824557   62105   no      666257   77891   no    
0             928326   94842   no      852748   51282   no      789701   58152   no      639050   84609   no    
0             901314  127020   no      836631   44410   no      771042   57731   no      608592   79346   no    
0             844453  156934   no      809543   40801   no      723734   51483   no      560048   75929   no    
0             786245  194799   no      785912   50657   no      684305   67691   no      516710   88137   no    
0             716253  246643   no      748734   65269   no      641937   63785   no      459253   86898   no    
0             642130  284669   no      718164   76666   no      569328   61138   no      389235  102825   no    
0             567208  312271   no      658484   90859   no      489624   79315   no      335399   90089   no    
0             508626  318896   no      599271  120000   no      423820   96811   no      259481   77057   no    
0             470618  320262   no      547365  145230   no      338516  112447   no      217197   80481   no    
0             445484  295442   no      456573  174666   no      258147  106298   no      146327   53225   no    
0             439892  282037   no      366660  175499   no      193787   97739   no      133180   54502   no    
0             445806  268287   no      315631  179752   no      148628   84107   no      125909   55493   no    
0             464344  254845   no      278101  149287   no      141062   56429   no      152638   80350   no    
0             492257  257886   no      274775  141635   no      161833   71740   no      206952   69635   no    
0             528993  256826   no      276443  139695   no      218264  117511   no      286934   70218   no    
0             568339  278735   no      290866  163394   no      287893  122344   no      361635   59101   no    
0             599423  284674   no      335402  202874   no      370882  160189   no      431563   61479   no    
0             633964  283475   no      397109  220820   no      457151  165220   no      481384   75439   no    
0             672940  291868   no      457421  226929   no      524020  157447   no      528921   70506   no    
0             720575  289686   no      533051  231373   no      602271  154444   no      591933   71603   no    
0             744366  294671   no      602317  236016   no      656754  133216   no      621914   71332   no    
0             788985  285915   no      650726  218771   no      694635  131450   no      646484   68488   no    
0             826673  282106   no      702510  195482   no      737155  113961   no      663868   64988   no    
0             857793  277626   no      746033  158842   no      756609   98022   no      688789   65781   no    
0             886039  261275   no      788507  144959   no      782722   99193   no      708713   56535   no    
0             928117  242710   no      807951  125062   no      806700   85999   no      728029   54140   no    
0             955509  211228   no      836562  136181   no      830305  100169   no      735860   76317   no    
0             979233  198781   no      843417  116632   no      845798  100543   no      759059   67713   no    
0            1010851  181669   no      874560  127868   no      860482   98786   no      761591   66047   no    
0            1024320  154639   no      901726  112686   no      875832  104396   no      788095   69545   no    
0            1047152  135830   no      899667  124460   no      910735   99279   no      795628   66155   no    
0            1057368  128363   no      925816  116331   no      919717   98352   no      827461   68029   no    
0            1079403  127055   no      929504  117802   no      926534   96440   no      836739   61544   no    
0            1089322  119940   no      955739  113195   no      943136   94012   no      840837   73368   no    
0            1096112  121028   no      979284  115776   no      942322  101480   no      874131   50384   no    
0            1116775  114313   no      998887  111562   no      969820  103387   no      871834   66261   no    
0            1119723  112184   no      995849  112335   no      971783   95288   no      882130   54555   no    
0            1128191  112369   no     1011346  101562   no      989640   96846   no      899640   65069   no    
