ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.40 cm2                  0.082 cm2                   0.21 cm2                   0.22 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            401136  219037   no     197465  23496.7  no     214196  59526.1  no     203911   98463   no    
0            405010  218179   no     188986  27494.4  no     210064  46756.2  no     187614   94138   no    
0            405680  220394   no     206646  33182.6  no     197758  53792.7  no     197752  100767   no    
0            403088  220585   no     200945  36857.5  no     206585  62883.4  no     193128   98611   no    
0            409373  215300   no     205349  31550.5  no     208366  55830.2  no     203365   96701   no    
0            400540  215235   no     187698  45374.1  no     217664  62117.0  no     209488   93272   no    
0            405548  221689   no     225247  38932.4  no     207508  62459.5  no     201330   98222   no    
0            407685  228081   no     205138  55135.7  no     207360  55566.7  no     190618   84854   no    
0            394839  223806   no     196627  66295.8  no     217079  54559.0  no     192184   83127   no    
0            400587  213960   no     197633  51839.2  no     212636  55470.2  no     197387   92800   no    
0            393703  216767   no     210282  44729.9  no     211017  57945.3  no     197269   96454   no    
0            395295  210293   no     200771  42985.8  no     209139  62003.7  no     196394  101951   no    
0            386241  202529   no     224248  51122.3  no     212009  58732.7  no     198706  104238   no    
0            389773  198241   no     209911  53820.6  no     205867  58316.7  no     195523  113062   no    
0            389261  191343   no     209358  43153.9  no     197343  57586.0  no     202706  116526   no    
0            386814  201127   no     217102  37148.5  no     204407  59278.4  no     199175  113937   no    
0            389574  195042   no     237163  41676.7  no     208424  51801.6  no     197895  103159   no    
0            391753  196128   no     205404  48835.2  no     199913  55735.5  no     196600  106184   no    
0            393987  196638   no     220225  52116.1  no     201024  55690.4  no     193958  106822   no    
0            405598  192717   no     288133  59449.8  no     249475  68232.3  no     266054  130725   no    
0            421049  198096   no     265744  69206.9  no     265501  70143.5  no     267412  122963   no    
0            420660  198605   no     235073  35480.2  no     255076  79962.5  no     241097  109861   no    
0            432035  203081   no     240134  51066.7  no     254242  74090.3  no     237917  102779   no    
0            432183  202263   no     226121  54405.1  no     249207  75315.0  no     230479   92688   no    
0            440666  204218   no     235355  52722.0  no     247510  82172.1  no     230313   94418   no    
0            434406  194961   no     198185  40076.3  no     245780  65101.2  no     229579   96240   no    
0            438750  192774   no     212808  50068.8  no     235274  68990.6  no     234710  104324   no    
0            445193  187375   no     226690  44883.3  no     234334  62793.5  no     217275  106045   no    
0            433585  183032   no     222059  58067.9  no     228391  63119.2  no     224344  112225   no    
0            450410  182429   no     230967  58797.0  no     229937  60315.7  no     216909  113838   no    
0            443355  183390   no     201555  55476.2  no     223627  66700.8  no     228540  121557   no    
0            447769  182132   no     220684  57914.9  no     223409  61081.3  no     216626  115200   no    
