ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.23 cm2                 0.0645 cm2                 0.0762 cm2                 0.0762 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            457684  118871   no     368471  26014.5  no     344837  37155.0  no     285262  77542.8  no    
0            416235  114009   no     303831  29294.3  no     269682  35794.5  no     215409  61583.4  no    
0            320796   97592   no     213389  31704.1  no     185946  33170.7  no     137343  39337.7  no    
0            286015   90153   no     176169  33120.3  no     146911  30171.8  no     106678  29843.3  no    
0            238745   77374   no     134760  29595.6  no     100998  25546.0  no      68762  21865.3  no    
0            201972   74159   no     108302  27191.9  no      96892  28888.2  no      62771  18978.1  no    
0            174893   67567   no      89503  26041.1  no      62029  21967.7  no      38707  12940.6  no    
0            152296   62996   no      72293  24892.0  no      61930  23431.9  no      37792  11947.4  no    
0            130861   60192   no      58827  21687.2  no      48295  18441.9  no      24779   9940.5  no    
0            119913   56104   no      51917  19674.2  no      38845  19529.4  no      25491  10836.8  no    
0            102557   53647   no      45389  18242.6  no      34951  17339.4  no      21782   9863.9  no    
0             93442   51623   no      38476  14894.3  no      31001  13752.4  no      22636  11203.8  no    
