ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.14 cm2                 0.0513 cm2                   0.17 cm2                   0.13 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            238620  90387.1  no     264202  22693.3  no     274216  35388.9  no     255032  26467.7  no    
0            206043  90320.2  no     204907  19284.1  no     223715  33506.2  no     200563  22978.4  no    
0            148174  80662.3  no     124725  13526.3  no     149731  31421.2  no     124172  17694.6  no    
0            129015  80269.4  no      91696  12330.1  no     122903  31681.8  no      98611  15510.0  no    
0            101029  71311.9  no      62513   8770.7  no      86243  26599.1  no      62801  13991.6  no    
0             91206  66031.7  no      48981   9741.6  no      73182  25181.7  no      49787  11797.5  no    
0             71858  61437.4  no      32610  10862.0  no      58676  23665.9  no      37791  11378.5  no    
0             65123  59792.9  no      24785   9160.5  no      48274  23915.0  no      30308  11290.6  no    
0             58846  54153.6  no      21238   8207.5  no      38726  22383.4  no      24021   9723.7  no    
0             50295  50099.0  no      17620   8885.2  no      35797  19766.1  no      18791   9122.6  no    
0             46016  46705.6  no      15337   7831.1  no      30539  18784.1  no      15357   8752.3  no    
0             44238  44561.5  no      14838   6708.0  no      27008  17802.1  no      15306   7570.0  no    
