ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.22 cm2                   0.10 cm2                   0.12 cm2                  0.082 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            311544  34483.2  no     254194  24442.0  no     241327  17325.7  no     262382  13811.9  no    
0            270857  40578.2  no     206357  21764.9  no     187856  17357.5  no     192586  10949.4  no    
0            211714  41430.9  no     132944  19347.3  no     117389  12387.6  no     120114  10608.6  no    
0            181346  42497.5  no     101793  15383.3  no      98132  13553.5  no     103090  10154.8  no    
0            152024  41949.0  no      66953  15017.5  no      64352  10853.7  no      59713   9395.8  no    
0            135033  41231.2  no      59063  14716.8  no      48819  10561.4  no      52978   8288.2  no    
0            109620  41177.6  no      38152  13891.5  no      38140   9452.9  no      35894   8149.4  no    
0            103440  38084.6  no      35517  12722.9  no      30508   8490.2  no      25478   9012.5  no    
0             86720  36403.5  no      24745  11516.4  no      22783   8646.1  no      24098   8832.5  no    
0             79568  34556.1  no      23094  11725.9  no      21931   7332.8  no      15979   7981.9  no    
0             71003  32567.5  no      19996   9473.9  no      15291   6179.5  no      16183   5919.8  no    
0             63981  33050.5  no      15772   8922.5  no      15725   8204.8  no      14631   5506.6  no    
