ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area      0.0923 cm2                 0.0732 cm2                   0.13 cm2                   0.17 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            367022  29619.3  no     378773  34905.2  no     423636  118097   no     386262  50829.4  no    
0            306787  29085.8  no     329137  29037.9  no     338121   93656   no     319941  44479.0  no    
0            210211  27003.2  no     225146  37276.9  no     218519   66943   no     209957  38345.9  no    
0            181586  24163.7  no     198586  33942.4  no     169079   56534   no     161413  34981.3  no    
0            117556  17766.5  no     140868  34668.5  no     112292   41398   no     116422  30067.4  no    
0            102442  20120.8  no     119240  35201.1  no      92047   38074   no      87956  28836.4  no    
0             71713  18083.3  no     100935  35772.3  no      61608   28935   no      70175  27529.0  no    
0             61836  16647.9  no      79423  32856.0  no      54767   25098   no      61725  24036.7  no    
0             48728  15937.4  no      67103  32674.2  no      40692   19953   no      41231  23621.0  no    
0             42301  16055.1  no      59314  31609.0  no      33451   19758   no      38856  23540.2  no    
0             31016  13104.0  no      50656  27873.5  no      27533   15899   no      31339  22121.9  no    
0             29327  13019.3  no      44056  29176.1  no      25114   16408   no      28233  19547.0  no    
