ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    
ROI area        0.24 cm2                 0.0527 cm2                   0.15 cm2                 0.0806 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1488047   85167   no     1244032  298482   no     1337203  67193.1  no     1333290  112334   no    
0            1414812   75343   no     1181867  272097   no     1270611  71143.5  no     1296682  111090   no    
0            1414587   82914   no     1176063  281666   no     1285194  74744.5  no     1288128  120995   no    
0            1403867   78966   no     1181665  276940   no     1287224  65619.1  no     1288173  119303   no    
0            1404025   75049   no     1170396  269481   no     1278296  69840.1  no     1292555  117718   no    
0            1405288   77931   no     1181704  270233   no     1273531  77481.3  no     1274824  118853   no    
0            1393248   76360   no     1168238  283635   no     1276698  64376.1  no     1280944  115456   no    
0            1396856   83067   no     1163800  269581   no     1271706  74426.8  no     1284792  129642   no    
0            1394325   73337   no     1159214  270941   no     1265316  74815.3  no     1278263  104814   no    
0            1232071   69496   no     1030813  244310   no     1075446  58918.2  no     1080656   95255   no    
0            1228286   73081   no     1000559  241179   no     1071856  63932.8  no     1063616  100283   no    
0            1227426   77918   no     1018959  237178   no     1063520  61366.3  no     1063787   97082   no    
0            1214121   72868   no     1023426  253737   no     1064963  64181.6  no     1057776   82764   no    
0            1215772   78384   no     1002880  240234   no     1051909  57451.2  no     1059182   92292   no    
0            1217911   77695   no     1005419  242146   no     1054216  64379.6  no     1053255   93108   no    
0            1200808   76458   no     1009136  228509   no     1054321  62042.6  no     1069096   88745   no    
0            1203682   81253   no     1000489  239376   no     1043943  62427.7  no     1057037  108955   no    
0            1196807   76928   no     1003778  227311   no     1045512  58763.0  no     1044398  101832   no    
0            1190141   80182   no      963037  220859   no     1027202  58358.9  no     1041976   98975   no    
0            1190186   68309   no      970653  226326   no     1022359  59187.1  no     1042770   97879   no    
0            1186455   75592   no      990238  237502   no     1019598  54897.9  no     1022778   85618   no    
0            1175734   75734   no      974346  238828   no     1016871  68213.6  no     1026141   93302   no    
0            1180464   75927   no      967508  210039   no     1007655  65129.1  no     1014116   89466   no    
0            1158889   68629   no      963905  224271   no     1000526  60157.0  no     1007142   99912   no    
0            1162738   74898   no      972404  230671   no      990897  61091.4  no     1012035   90185   no    
0            1160624   75795   no      964549  215382   no      977015  58995.0  no      998585  104451   no    
0            1153252   75062   no      952269  216301   no      981437  61181.6  no     1002467   89251   no    
0            1137404   73108   no      953584  223913   no      961004  59014.2  no      992914   94663   no    
0            1129962   75409   no      958214  223042   no      960999  58635.3  no      986670   87712   no    
0            1116404   73799   no      933288  216656   no      948385  59726.1  no      981636   97818   no    
0            1112703   71334   no      925053  219633   no      937456  52643.9  no      956747   91700   no    
0            1100382   78074   no      914173  228672   no      934928  55658.6  no      947954   93640   no    
0            1084355   72517   no      910348  214444   no      918501  66833.6  no      933811   93111   no    
0            1076745   72650   no      911591  200716   no      905982  55115.6  no      929922   89804   no    
0            1076674   73742   no      880544  203009   no      905255  47910.2  no      913443   86829   no    
0            1053059   74686   no      889690  200393   no      903711  53602.8  no      895569   84338   no    
0            1050289   72357   no      861946  206170   no      891709  52109.8  no      878298   74011   no    
0            1042563   76230   no      848111  194750   no      886857  53027.0  no      874030   85310   no    
